"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"99",12,9,7,6,2,2,5,8,7,5,5,7,2,1,1,3,4,1,0,3,1,1,3,5,2,0,1,2,3,6
"100",19,6,7,6,4,4,2,5,4,3,4,5,1,4,3,0,6,1,1,2,1,1,4,4,3,3,2,0,1,7
"101",10,14,25,4,9,3,6,8,6,9,7,2,7,2,4,9,6,3,4,3,0,0,4,7,2,1,2,1,4,5
"102",32,36,29,18,20,13,22,13,19,12,6,10,9,4,4,7,14,12,10,6,12,10,6,17,14,7,3,6,8,10
"103",69,40,45,22,15,47,34,20,37,23,23,15,27,12,15,18,34,15,23,15,15,17,13,14,22,9,10,14,9,19
"104",116,58,63,36,33,43,46,18,32,25,18,26,25,10,27,26,144,27,17,41,16,24,16,22,24,14,7,20,23,18
"105",125,72,77,41,43,37,56,31,39,45,28,25,27,17,28,26,171,26,43,37,20,38,31,46,22,17,32,15,26,43
"106",154,88,82,56,51,52,70,39,48,64,26,29,32,36,28,31,73,40,45,37,21,29,31,64,37,12,19,23,24,22
"107",149,94,81,52,74,51,44,44,33,37,38,24,28,31,27,26,70,36,29,45,17,25,26,22,27,17,24,18,24,24
"108",144,84,94,66,40,62,48,26,57,34,35,36,32,43,19,37,77,24,38,29,28,20,31,42,21,20,27,17,19,22
"109",145,130,105,54,58,46,69,43,61,39,28,32,32,45,34,42,85,26,40,47,32,35,29,65,31,12,39,17,38,30
"110",152,104,111,57,62,65,51,42,48,44,35,40,34,27,43,36,70,29,79,49,24,34,31,45,45,15,31,40,24,32
"111",189,120,110,55,69,72,54,34,58,54,34,16,37,43,37,51,86,29,63,28,28,21,21,48,42,15,36,32,32,23
"112",152,116,102,43,65,70,67,32,43,59,40,27,41,32,40,39,62,17,48,31,33,27,43,52,31,26,37,30,31,19
"113",178,136,75,35,47,54,48,34,38,51,23,25,36,43,26,42,57,27,47,39,23,30,20,78,32,24,41,27,21,21
"114",126,145,107,40,54,64,48,28,38,56,26,27,31,35,22,48,58,30,31,22,22,21,24,65,23,26,34,33,16,27
"115",148,157,111,53,79,98,74,44,61,58,32,50,37,42,25,35,56,37,64,32,44,42,42,96,38,27,59,50,39,39
"116",208,212,139,58,98,96,92,73,79,68,33,44,56,40,56,54,64,45,67,37,60,47,44,113,45,34,64,50,33,37
"117",208,205,163,71,87,80,98,61,102,75,44,45,72,64,50,60,41,52,73,58,70,44,46,110,55,48,89,73,61,55
"118",215,161,131,67,94,100,84,64,67,46,49,49,74,36,53,69,47,54,65,44,48,53,53,109,56,40,80,50,38,45
"119",133,98,89,43,45,42,40,38,40,24,40,39,41,16,22,44,23,36,49,47,41,38,32,50,28,23,16,32,20,40
"120",78,41,38,14,11,26,25,30,26,26,15,23,53,15,19,38,10,9,16,19,7,7,14,2,12,7,5,5,16,20
"121",30,16,20,11,10,5,8,13,14,12,10,10,7,7,9,3,3,8,7,2,3,6,6,0,8,1,4,1,6,9
"122",24,6,13,5,3,1,7,8,10,8,5,5,1,6,1,3,5,1,2,3,4,2,1,4,3,4,4,2,2,1
"123",15,14,7,3,5,1,4,5,6,4,4,9,3,0,1,3,4,2,5,5,3,1,2,0,1,1,1,3,5,6
"124",10,13,11,3,4,0,7,6,9,6,3,1,4,0,2,4,0,4,0,4,5,1,2,0,7,1,0,1,1,6
"125",17,21,19,3,8,5,7,2,16,11,5,5,5,3,6,2,3,2,3,3,2,2,1,3,4,6,0,2,3,10
"126",39,48,49,18,17,15,14,17,41,18,13,13,12,9,2,18,5,5,5,10,14,7,18,15,11,4,7,12,7,10
"127",91,61,89,18,30,38,31,41,69,20,19,21,18,9,18,20,6,3,13,10,9,21,13,6,23,7,5,6,13,17
"128",131,95,76,40,40,61,34,56,61,54,31,31,34,21,33,21,25,16,16,24,18,18,22,13,28,11,12,13,16,15
"129",154,86,117,52,60,66,46,99,66,44,40,31,32,30,38,40,14,30,17,32,22,15,27,22,28,8,39,24,32,28
"130",186,82,125,40,59,61,58,92,68,33,50,42,35,31,24,34,19,18,22,22,23,38,34,13,43,16,26,17,41,23
