"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"103",32,8,12,8,11,11,9,11,16,10,11,8,8,14,6,13,10,6,7,9,7,14,2,15,12,13,3,6,2,6
"104",28,13,26,16,17,21,11,34,9,14,14,19,24,17,8,28,12,17,16,15,8,12,14,20,21,12,14,11,12,13
"105",41,26,45,27,19,19,14,35,18,18,26,21,24,23,14,37,22,24,17,10,14,27,18,18,18,9,22,20,19,15
"106",61,22,40,27,11,17,26,39,37,18,29,19,32,23,17,29,19,15,19,16,14,23,22,31,17,11,17,22,19,27
"107",54,23,49,25,24,30,16,35,17,19,21,17,28,31,22,27,15,24,31,24,15,29,18,18,17,21,16,18,23,17
"108",57,33,40,26,19,29,25,35,19,15,19,17,24,23,23,33,28,24,29,15,18,29,21,15,20,20,10,10,19,26
"109",70,26,44,21,22,42,39,43,16,16,34,22,24,17,23,48,23,27,48,20,15,27,24,28,24,29,23,14,13,26
"110",59,26,57,19,23,30,32,28,23,19,21,24,26,24,20,31,18,26,34,11,18,19,25,19,17,13,20,13,15,27
"111",45,29,45,31,37,33,32,42,35,29,23,19,33,28,24,26,25,25,33,24,29,26,27,19,19,21,18,23,23,31
"112",51,24,41,23,18,40,14,36,18,28,16,15,16,23,21,32,20,37,23,12,15,37,17,14,19,12,13,6,22,29
"113",43,26,33,29,26,29,15,20,27,20,22,24,23,9,18,16,15,18,20,14,25,29,20,16,11,25,10,14,17,47
"114",51,35,33,31,21,24,15,26,28,23,20,25,26,21,21,23,19,30,24,18,17,22,20,19,15,18,18,15,11,20
"115",50,37,38,34,40,34,24,35,20,20,24,25,24,40,32,23,29,38,36,21,19,33,22,24,18,21,15,18,22,23
"116",64,55,45,43,39,38,29,34,23,29,49,38,20,44,19,46,33,43,40,19,35,29,23,26,17,20,14,39,25,40
"117",71,61,59,60,37,50,38,54,35,30,39,38,29,48,25,42,39,53,44,44,51,40,33,31,18,23,19,26,30,58
"118",83,49,51,51,30,33,33,42,42,33,41,25,28,40,40,59,43,42,23,43,23,29,35,25,36,40,32,25,25,36
"119",52,30,49,37,16,35,21,27,26,13,29,23,21,25,41,33,26,26,19,28,22,8,26,15,28,27,16,39,17,26
"120",22,8,17,17,7,21,3,9,20,8,9,11,7,10,65,10,7,11,22,6,9,10,13,6,9,26,10,9,7,16
"121",11,3,10,11,3,11,3,6,5,3,6,6,9,2,31,5,5,3,13,7,5,5,8,2,5,6,2,7,2,0
"122",6,3,7,6,3,5,2,7,6,4,2,6,1,3,19,2,1,5,7,1,1,3,2,3,4,2,2,2,3,0
"123",2,3,2,6,3,4,4,0,2,0,1,0,2,7,16,0,5,5,5,3,1,0,0,0,5,0,1,4,1,0
"124",4,2,5,4,1,4,6,1,2,1,0,3,1,3,28,2,4,4,2,1,0,3,1,2,1,1,2,3,2,4
"125",10,3,7,5,1,10,4,2,4,5,0,2,2,8,21,2,0,7,8,4,0,2,3,0,2,1,1,1,1,3
"126",17,8,6,14,5,6,6,3,7,5,5,4,8,9,57,5,5,6,5,8,4,10,3,4,8,1,5,4,3,0
"127",25,19,4,20,12,9,11,13,15,8,10,9,7,5,84,8,6,11,10,5,5,15,6,6,8,4,6,6,7,5
"128",35,15,18,28,13,22,5,23,16,9,11,8,23,18,50,13,28,23,12,11,9,15,8,12,18,16,4,12,16,12
"129",66,25,17,31,15,23,20,32,31,23,15,17,28,16,55,8,14,26,23,21,11,13,29,29,20,21,15,16,24,14
"130",77,35,38,37,23,37,10,21,30,17,21,27,29,25,69,14,30,24,15,26,20,14,16,25,16,19,8,16,31,20
