"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"114",95,45,53,48,55,38,41,32,29,33,20,25,21,17,18,33,22,20,41,20,8,17,16,16,14,29,21,12,15,24
"115",110,62,81,55,46,42,53,53,39,51,23,29,18,34,31,34,37,31,41,15,17,42,27,19,17,20,25,22,23,25
"116",118,69,71,63,53,36,63,53,42,54,39,34,47,36,28,30,29,48,59,31,24,48,22,25,37,21,39,27,27,31
"117",160,87,94,69,71,64,72,65,59,58,38,41,49,45,39,44,50,27,80,43,37,65,32,37,43,40,28,20,35,34
"118",141,65,77,68,67,63,72,69,45,57,55,18,49,59,41,32,32,47,95,36,34,51,57,21,45,31,52,35,43,19
"119",103,50,61,74,55,39,32,49,37,26,35,20,38,36,28,41,35,31,39,33,29,42,25,21,24,29,35,17,30,24
"120",38,28,19,29,26,15,11,37,17,16,16,12,23,15,13,16,9,14,18,22,22,11,13,4,6,22,7,10,33,15
"121",23,9,16,10,10,6,10,14,3,5,9,6,8,3,10,1,9,2,10,7,6,4,6,1,3,12,5,2,12,2
"122",8,6,7,7,1,1,3,14,1,5,4,1,6,4,3,5,1,5,2,1,6,4,3,1,3,7,4,5,2,2
"123",8,5,4,11,1,2,3,4,2,1,2,1,3,3,2,3,1,2,2,3,3,4,2,2,4,4,2,4,5,7
"124",10,3,1,3,5,1,8,4,2,4,0,1,1,3,2,4,1,1,3,3,1,4,4,2,1,1,2,1,1,1
"125",23,4,6,4,9,2,0,8,3,4,3,7,7,4,2,4,8,1,6,4,3,6,4,3,1,5,1,3,1,4
"126",49,19,17,7,24,11,6,20,7,20,12,10,5,7,5,1,4,6,10,7,5,5,7,8,3,4,7,2,6,5
"127",66,34,19,22,28,12,20,34,15,15,21,5,16,10,8,8,10,11,11,18,8,14,11,11,13,6,6,14,14,7
"128",62,69,25,35,40,29,31,41,25,14,29,16,22,16,13,14,16,17,19,25,8,18,15,20,21,7,8,10,17,9
"129",85,60,43,42,38,58,43,47,37,19,41,21,34,22,22,21,17,21,23,18,20,20,22,8,17,16,12,9,13,24
"130",92,62,55,54,51,65,56,61,29,31,35,19,31,27,22,38,34,23,9,18,17,24,20,20,29,14,22,23,15,34
"131",93,55,37,55,48,40,42,62,35,30,37,15,35,23,15,31,18,16,28,15,17,19,21,14,29,13,24,16,17,18
"132",117,70,35,45,48,45,42,62,21,37,34,18,19,20,16,30,16,23,16,23,18,15,17,5,28,17,16,17,13,25
"133",127,82,65,51,76,48,46,59,50,28,43,13,34,28,31,15,33,28,27,26,13,14,25,17,29,13,18,15,16,25
"134",131,57,61,61,59,53,58,53,34,25,41,11,32,27,22,24,26,32,28,22,18,20,26,12,39,24,30,11,20,41
"135",104,65,72,57,61,65,54,50,37,43,29,13,30,26,34,24,19,21,23,23,22,29,21,14,27,11,22,18,30,22
"136",115,46,54,48,59,48,53,48,50,32,38,12,34,39,25,26,17,23,21,30,13,23,24,15,15,15,15,16,15,19
"137",106,61,45,56,42,48,49,37,45,34,35,18,32,17,17,21,26,25,26,16,15,22,18,18,30,16,18,12,20,18
"138",108,69,67,38,45,39,37,37,37,31,22,12,24,19,19,21,17,19,13,15,20,20,21,13,11,20,22,13,15,13
"139",150,68,77,59,63,47,52,73,54,52,40,18,27,39,29,30,38,29,28,21,29,22,30,28,37,15,19,32,19,19
"140",165,122,110,66,73,59,69,58,52,61,52,20,26,39,33,39,63,42,30,51,19,48,21,31,37,16,18,22,28,31
"141",189,113,125,78,93,62,65,82,61,75,74,39,55,58,35,45,63,37,33,37,30,37,35,35,53,24,36,32,42,41
"142",208,120,116,97,93,66,76,73,60,74,61,36,61,69,29,38,51,45,32,38,45,55,36,20,46,21,46,26,45,26
"143",114,56,82,61,73,76,43,70,51,32,54,20,37,46,20,26,36,33,26,20,20,39,24,15,27,11,42,22,20,31
"144",63,28,25,24,31,35,22,44,18,11,23,13,22,21,10,11,7,8,20,19,19,20,21,9,8,6,12,11,31,10
"145",34,10,8,14,5,13,9,19,7,7,12,11,16,8,2,4,5,4,10,6,8,6,6,6,1,2,6,5,9,4
"146",9,3,7,8,2,5,1,7,3,1,4,1,2,3,1,3,5,7,10,1,2,0,2,4,3,1,2,5,6,0
"147",6,2,1,7,6,0,3,5,6,1,4,4,1,4,3,0,1,2,5,2,6,1,4,2,3,1,6,3,2,2
"148",10,3,7,8,2,5,3,4,4,2,2,2,4,2,2,1,2,1,4,2,3,3,1,1,1,1,4,2,1,1
"149",14,11,10,1,3,3,4,4,3,4,1,5,7,4,0,4,4,3,3,2,3,1,2,12,2,1,2,0,6,1
"150",36,24,15,13,10,15,9,11,6,13,8,8,3,4,9,9,13,7,9,6,7,4,8,9,3,3,9,11,7,7
"151",57,38,18,30,14,24,16,19,20,8,18,10,13,10,7,10,14,7,7,3,9,10,3,10,11,4,4,10,11,11
"152",97,41,27,24,24,16,47,29,21,21,26,9,22,13,14,17,14,17,7,13,11,15,9,23,26,3,9,12,10,18
"153",92,39,30,41,25,40,40,28,21,14,22,16,29,12,12,20,18,18,14,15,14,11,14,19,18,13,11,17,8,9
"154",82,32,43,47,40,38,36,49,24,17,40,12,23,27,22,21,25,19,14,16,19,8,22,30,24,18,15,8,18,15
"155",77,41,37,37,26,41,35,35,27,16,42,18,37,11,18,16,26,15,13,17,25,10,18,14,31,20,21,20,23,18
"156",119,50,51,29,32,46,42,33,29,18,33,20,23,18,31,19,33,30,9,17,15,10,12,19,24,8,21,14,28,13
"157",91,47,50,36,43,49,45,39,48,16,48,27,35,24,13,20,29,17,25,22,14,15,13,25,30,18,31,17,16,25
"158",111,57,52,46,31,47,42,42,29,17,38,23,26,18,17,26,41,32,22,24,28,16,20,24,27,20,23,13,18,17
"159",81,41,54,49,46,40,38,33,43,24,35,21,23,21,17,31,39,25,20,17,17,14,19,28,23,18,25,40,15,21
"160",116,52,47,37,23,50,27,39,30,17,27,27,27,18,11,31,43,19,13,20,23,14,18,26,23,6,10,23,17,14
"161",90,50,38,38,26,31,34,35,25,29,23,19,32,15,20,20,27,24,22,12,16,17,17,18,24,9,27,25,19,14
"162",81,55,46,34,31,53,24,42,34,22,47,30,30,19,16,34,36,27,17,19,29,10,15,17,27,7,24,20,26,11
"163",97,76,60,40,34,49,62,37,48,36,31,36,27,23,39,27,47,28,23,29,26,26,20,22,35,10,31,19,14,25
"164",140,86,84,64,42,61,67,58,63,39,34,27,33,31,39,49,73,27,21,34,26,30,22,29,40,15,28,44,12,21
"165",168,122,92,73,76,99,78,58,52,42,63,43,50,40,36,54,73,29,46,43,36,31,34,53,32,9,35,53,30,30
"166",216,83,93,84,83,69,72,57,71,45,52,42,53,44,43,38,60,33,36,36,34,38,32,34,56,10,40,46,49,44
"167",143,56,57,62,53,66,42,54,49,33,51,25,35,28,17,35,40,29,29,31,43,24,38,30,20,14,35,32,32,24
"168",93,27,27,27,20,31,10,29,24,15,32,12,30,19,7,10,25,32,12,14,22,5,15,7,8,12,13,12,24,10
"169",21,12,12,20,9,19,7,17,10,6,11,10,11,5,2,3,4,10,7,9,15,6,6,8,8,1,4,7,10,5
"170",20,17,15,4,2,8,3,16,4,3,4,4,4,3,3,3,11,5,7,5,5,2,1,7,4,1,2,3,6,2
"171",15,2,10,2,4,8,5,2,2,0,5,0,2,1,1,4,7,5,3,6,3,4,1,4,1,1,5,2,3,2
"172",17,6,1,4,7,2,7,4,3,0,5,3,2,3,2,2,1,1,5,1,3,4,1,1,2,1,0,6,6,4
"173",15,12,16,5,4,3,3,5,0,5,5,3,6,4,1,3,7,3,8,1,5,2,5,8,0,0,2,2,2,4
"174",35,22,18,12,13,8,9,9,6,13,13,5,8,3,2,15,8,5,7,8,5,11,2,11,3,1,4,11,9,4
"175",78,43,31,19,24,38,24,21,23,19,24,12,15,13,7,14,8,9,24,11,10,13,10,25,12,8,14,21,15,10
"176",84,55,36,32,46,38,24,32,33,16,20,24,24,31,14,17,23,14,15,11,18,19,10,18,26,11,17,15,21,10
"177",98,41,59,39,44,55,26,36,32,24,38,24,29,19,19,14,23,26,16,13,23,15,8,21,25,10,20,19,18,16
"178",107,64,45,61,42,52,40,53,34,30,28,20,30,24,28,25,37,19,22,17,17,13,19,17,14,12,28,17,19,26
"179",91,40,48,68,40,58,33,48,31,21,50,22,34,16,16,20,33,21,24,13,25,15,12,20,27,9,28,14,22,24
"180",98,75,42,49,36,48,46,44,28,18,45,25,37,23,30,27,38,15,18,19,25,18,12,27,21,21,22,25,23,21
"181",111,84,55,65,45,57,38,56,35,40,35,24,30,26,23,23,41,19,13,16,26,20,15,30,18,34,19,15,15,16
"182",104,67,63,53,32,46,47,50,35,27,40,26,31,19,30,24,31,19,22,21,29,21,14,16,19,34,26,18,20,17
"183",107,99,69,72,40,54,46,59,47,35,44,18,24,34,34,23,51,18,14,17,22,20,22,25,28,28,41,24,18,28
"184",113,81,57,59,44,66,57,55,65,34,37,21,39,34,34,29,35,19,16,28,20,26,18,21,31,49,13,18,28,22
"185",103,69,41,56,43,66,37,57,35,23,36,15,30,27,34,21,36,26,15,15,19,17,15,25,15,41,20,15,24,17
"186",98,64,62,50,42,53,39,51,33,21,40,14,26,30,25,27,49,21,9,21,25,11,15,24,25,41,19,24,18,21
"187",154,121,71,49,56,69,64,72,39,35,41,21,29,31,10,37,52,35,29,26,37,21,25,32,23,52,38,19,27,22
"188",177,128,107,88,79,78,68,90,55,44,50,39,31,33,25,43,64,29,29,29,27,34,28,48,29,40,44,36,27,27
"189",212,156,121,83,89,90,109,98,91,62,65,48,50,37,32,59,80,42,25,36,33,31,28,51,39,62,44,34,55,37
"190",172,112,109,99,99,90,95,84,91,50,66,39,56,46,26,47,86,40,38,34,50,33,28,54,45,44,40,36,61,30
"191",156,99,76,86,64,86,73,72,73,42,52,28,64,49,19,40,69,40,23,32,43,32,18,27,34,45,41,26,50,28
"192",80,37,42,38,24,31,21,44,38,10,32,14,31,19,11,5,29,26,17,13,19,13,13,9,18,30,13,20,27,11
"193",28,15,14,26,12,20,7,24,9,8,6,3,10,6,8,10,6,8,6,11,6,7,4,4,4,14,7,10,24,6
"194",21,8,8,10,4,8,4,8,3,5,9,7,6,1,6,2,8,11,1,11,4,1,7,0,3,5,2,2,6,1
"195",10,5,5,8,6,9,3,4,6,1,4,1,3,3,0,3,4,0,1,2,5,1,3,2,1,4,4,3,5,1
"196",17,9,2,3,1,1,4,8,3,2,6,8,2,5,4,1,5,4,2,6,0,4,0,4,1,4,3,1,3,3
"197",13,21,13,3,6,3,4,5,2,3,2,2,1,4,4,1,9,3,4,3,6,4,0,9,0,3,5,2,6,1
"198",39,29,17,10,12,8,13,19,4,7,12,5,2,7,9,8,11,5,9,15,5,8,2,11,9,6,3,6,1,2
"199",92,70,43,20,32,29,29,35,24,16,15,15,14,19,9,18,27,14,16,16,6,10,5,22,8,24,12,13,16,12
"200",104,61,42,42,29,31,36,39,32,15,32,14,19,13,16,13,25,23,18,17,15,19,14,25,27,25,11,13,25,19
"201",95,79,44,35,49,50,49,63,28,27,27,18,30,17,23,22,36,26,17,19,18,9,21,19,14,42,23,20,21,16
"202",108,93,38,56,47,76,40,56,34,26,44,16,33,32,31,21,19,21,19,21,18,12,15,19,30,40,18,23,18,20
"203",91,73,47,42,33,64,38,53,39,19,31,12,27,23,49,15,41,27,12,17,23,19,16,20,27,35,13,9,19,23
"204",116,79,58,51,30,58,40,38,36,24,32,21,19,27,35,23,50,16,17,19,22,11,15,18,26,18,17,17,27,17
"205",119,85,57,44,36,68,52,49,39,29,44,33,31,29,58,30,68,31,22,17,14,16,18,17,26,31,21,18,21,21
"206",129,113,65,58,39,51,58,53,46,23,45,22,34,28,39,21,69,31,11,24,20,18,14,29,27,31,18,16,32,24
"207",116,85,61,61,41,61,64,41,54,36,48,36,37,19,44,31,62,41,19,24,23,20,14,30,21,41,30,16,30,34
"208",132,102,70,48,50,51,44,42,39,32,30,15,25,35,29,27,50,35,23,23,22,24,19,27,38,29,28,21,25,31
"209",119,75,53,57,51,48,33,41,34,25,29,20,32,25,16,22,49,25,30,22,18,11,15,18,30,30,21,14,32,10
"210",108,127,64,44,33,55,38,47,37,34,44,16,42,29,11,30,53,38,20,23,18,23,16,34,29,30,19,18,20,13
"211",133,100,83,81,61,56,49,44,54,54,39,31,37,35,16,48,84,33,15,26,22,15,12,32,15,32,33,26,25,24
"212",157,148,108,75,72,63,57,56,60,44,45,39,38,35,18,52,94,43,29,35,32,19,19,52,36,52,34,33,29,30
"213",222,172,136,78,76,71,98,82,78,62,67,37,45,45,12,60,94,53,42,41,42,33,24,34,38,57,40,34,46,36
"214",186,165,115,96,78,83,68,83,90,58,91,50,55,45,23,60,88,68,35,45,54,62,31,72,35,54,61,29,52,46
"215",126,102,63,73,52,53,41,68,46,33,46,22,32,37,14,45,43,38,33,32,55,32,25,32,39,38,23,26,55,27
"216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
